Question,Option A,Option B,Option C,Option D,Correct Answer,,
Why do swimmers train in altitude?,Cold air,Less pressure,Boost red blood cells,Improve dives,Boost red blood cells,,
Which is NOT a competitive swimming stroke?,Butterfly,Backstroke,Dog paddle,Breaststroke,Dog paddle,,
What is lap counter used for?,Sprint timing,Lap tracking,Start reaction,Turn detection,Lap tracking,,
What improves breathing control?,Hyperventilation,Holding breath,Bilateral breathing,Fast strokes,Bilateral breathing,,
How many turns in 200m freestyle (50m pool)?,2,3,4,5,3,,
Who won 400m IM gold in 2012?,Michael Phelps,Ryan Lochte,Chase Kalisz,Ye Shiwen,Ryan Lochte,,
What is the goal of kick sets?,Upper body power,Stroke rhythm,Breathing control,Leg endurance,Leg endurance,,
"What is an ""open turn""?",Touch and flip,Touch and rotate,Turn with pause,Touch wall then push off,Touch wall then push off,,
Which country has top female distance swimmers?,USA,China,Australia,Russia,USA,,
What is a “tech suit”?,Cotton suit,Racing swimsuit,Training suit,Warm-up gear,Racing swimsuit,,
What is reaction time in swimming?,Start delay,Swim pace,Turn time,Finish margin,Start delay,,
Who won women’s 200m freestyle in Tokyo?,Katie Ledecky,Emma McKeon,Ariarne Titmus,Penny Oleksiak,Ariarne Titmus,,
What do swimmers use to protect hair?,Shower cap,Racing hood,Swim cap,Bubble wrap,Swim cap,,
Which device allows breathing while face-down?,Mask,Goggles,Snorkel,Fins,Snorkel,,
What is the surface rule for backstroke?,Stay below 10m,Surface always,Surface at 15m,Only break after 25m,Surface at 15m,,
Which country is home to the Great Wall?,India,China,Japan,Mongolia,China,,
Where are the Pyramids of Giza located?,Iraq,Mexico,Egypt,Turkey,Egypt,,
What city houses the Colosseum?,Rome,Athens,Cairo,Paris,Rome,,
Which ancient city is carved into red rock cliffs?,Machu Picchu,Petra,Babylon,Thebes,Petra,,
The Taj Mahal was built in memory of whom?,A son,A brother,A queen,A wife,A wife,,
Where is Stonehenge located?,Wales,Scotland,England,Ireland,England,,
Machu Picchu is located in which country?,Peru,Bolivia,Chile,Brazil,Peru,,
The Eiffel Tower was built in what year?,1859,1889,1910,1901,1889,,
The Acropolis is a historic site in which city?,Istanbul,Rome,Athens,Cyprus,Athens,,
Which landmark was built as a mausoleum?,Eiffel Tower,Petronas Towers,Taj Mahal,Statue of Liberty,Taj Mahal,,
Angkor Wat is found in which country?,Vietnam,Cambodia,Thailand,Myanmar,Cambodia,,
Chichen Itza is a ruin from which civilization?,Roman,Mayan,Incan,Egyptian,Mayan,,
Which city hosts the Blue Mosque?,Cairo,Mecca,Tehran,Istanbul,Istanbul,,
Where is the historic site of Alhambra?,Italy,Spain,Greece,Portugal,Spain,,
What is the name of the large clock in London?,Big Ben,Time Tower,London Tick,The Bell Tower,Big Ben,,
What is the tallest ancient Egyptian pyramid?,Khafre,Djoser,Bent Pyramid,Great Pyramid of Giza,Great Pyramid of Giza,,
Which site is famous for the Terracotta Army?,Shanghai,Beijing,Luoyang,Xi’an,Xi’an,,
Which Greek temple honors Athena?,Zeus Temple,Parthenon,Olympion,Apollo Gate,Parthenon,,
The Moai statues are found on which island?,Fiji,Bali,Easter Island,Sicily,Easter Island,,
What is the ancient city under Naples called?,Pompeii,Herculaneum,Troy,Delphi,Pompeii,,
What US landmark has 4 presidents' faces?,Liberty Bell,Mount Rushmore,Lincoln Memorial,Capitol Hill,Mount Rushmore,,
What ancient wonder was in Babylon?,Hanging Gardens,Great Lighthouse,Zeus Statue,Colossus,Hanging Gardens,,
Where is the Dome of the Rock located?,Baghdad,Cairo,Mecca,Jerusalem,Jerusalem,,
Which empire built the Hagia Sophia?,Byzantine,Ottoman,Roman,Greek,Byzantine,,
What is the Leaning Tower part of?,A cathedral,A school,A palace,A castle,A cathedral,,
Which continent has Machu Picchu?,Asia,Europe,South America,North America,South America,,
Which landmark is in Agra?,Taj Mahal,Red Fort,Lotus Temple,Humayun's Tomb,Taj Mahal,,
The ruins of Carthage are in which country?,Tunisia,Italy,Libya,Greece,Tunisia,,
Which is the ancient Roman city buried by ash?,Carthage,Pompeii,Alexandria,Athens,Pompeii,,
Which Indian structure has 4 minarets?,Golden Temple,Taj Mahal,Red Fort,Qutub Minar,Taj Mahal,,
What structure is on Mount Corcovado?,Rio Cross,Christ the Redeemer,Jesus Peak,São Star,Christ the Redeemer,,
Which famous wall divides East and West Berlin?,Iron Wall,Cold Wall,German Divide,Berlin Wall,Berlin Wall,,
Where is the Sphinx located?,Petra,Giza,Amarna,Luxor,Giza,,
In what country is the Neuschwanstein Castle?,France,Switzerland,Germany,Austria,Germany,,
The Temple of Kukulkan is part of?,Chichen Itza,Angkor Wat,Machu Picchu,Thebes,Chichen Itza,,
Which city has the Forbidden City?,Tokyo,Beijing,Hanoi,Shanghai,Beijing,,
In which country is Delphi located?,Italy,Turkey,Greece,Iran,Greece,,
What is the oldest active mosque in Africa?,Al-Azhar,Qarawiyyin,Al-Nabawi,Amr ibn al-As,Amr ibn al-As,,
Which civilization built Tikal?,Inca,Aztec,Maya,Nubian,Maya,,
What is the name of the ancient Nubian temples?,Philae,Abu Simbel,Thebes,Dendera,Abu Simbel,,
Which structure honors Lincoln in Washington?,Capitol,White House,Lincoln Memorial,Washington Monument,Lincoln Memorial,,
Which tower survived WWII bombing in London?,Black Tower,St. Paul's Cathedral,London Bridge,Big Ben,St. Paul's Cathedral,,
The Library of Celsus is in what country today?,Greece,Italy,Turkey,Syria,Turkey,,
What large monument stands in Paris?,Arc de Triomphe,Taj Mahal,Obelisk,Tower Gate,Arc de Triomphe,,
In which country is the Bagan Temple complex?,India,Myanmar,Thailand,Laos,Myanmar,,
Which UNESCO site is in Jordan?,Baalbek,Byblos,Petra,Persepolis,Petra,,
What is the ancient center of Rome called?,The Agora,The Forum,The Arena,The Temple,The Forum,,
Which Viking monument is in Sweden?,Uppsala Stone,Runestone,Dragon Tower,Longhouse Rock,Runestone,,
Which landmark marks Washington D.C. center?,Capitol Hill,Lincoln Memorial,White House,Washington Monument,Washington Monument,,
Where is the Temple of Heaven located?,Tokyo,Beijing,Hong Kong,Bangkok,Beijing,,
Which city is home to the Brandenburg Gate?,Munich,Berlin,Hamburg,Cologne,Berlin,,
Where is the historic site of Timbuktu?,Morocco,Niger,Egypt,Mali,Mali,,
What is the name of the ancient temple in Kyoto?,Kinkaku-ji,Meiji Shrine,Todaiji,Kiyomizu-dera,Kinkaku-ji,,
Which structure is located on the Acropolis?,Pantheon,Parthenon,Colosseum,Forum,Parthenon,,
Which castle inspired Disney's Cinderella Castle?,Neuschwanstein,Windsor,Prague Castle,Versailles,Neuschwanstein,,
Which landmark sits on the Red Square?,Eiffel Tower,St. Basil's Cathedral,Taj Mahal,Hagia Sophia,St. Basil's Cathedral,,
The Temple of Artemis was located in?,Athens,Ephesus,Rome,Corinth,Ephesus,,
Which historic site is in Siem Reap?,Borobudur,Angkor Wat,My Son,Bagan,Angkor Wat,,
Where is the Temple Mount?,Istanbul,Jerusalem,Mecca,Cairo,Jerusalem,,
Which monument was a gift from France?,Mount Rushmore,Statue of Liberty,Eiffel Tower,Gateway Arch,Statue of Liberty,,
What is the main structure at Borobudur?,Stupa,Pagoda,Minaret,Dome,Stupa,,
Which ancient palace is in Knossos?,Minoan Palace,Pharaoh Palace,Roman Forum,Colosseum,Minoan Palace,,
Where are the Nazca Lines?,Chile,Peru,Bolivia,Ecuador,Peru,,
What ancient city was center of the Aztecs?,Tikal,Tenochtitlan,Cusco,Teotihuacan,Tenochtitlan,,
What is the name of Egypt’s ancient capital?,Luxor,Thebes,Giza,Alexandria,Thebes,,
Where is the Hassan II Mosque?,Cairo,Rabat,Casablanca,Tunis,Casablanca,,
What famous site is near Cusco?,Machu Picchu,Nazca Lines,Chichen Itza,Petra,Machu Picchu,,
Which ancient monument aligns with solstice?,Stonehenge,Sphinx,Colosseum,Great Wall,Stonehenge,,
Where is the Tower of Pisa?,Rome,Venice,Florence,Pisa,Pisa,,
Which ancient structure was a lighthouse?,Great Library,Lighthouse of Alexandria,Pyramids,Colossus,Lighthouse of Alexandria,,
What was the purpose of Hadrian’s Wall?,Water supply,Defense,Tomb,Trade route,Defense,,
Where is the Valley of the Kings?,Jordan,Egypt,Sudan,Syria,Egypt,,
Which famous site is in Ayutthaya?,Temples,Ruins of Babylon,Petra,Forbidden City,Temples,,
Which site in Mexico has Pyramid of the Sun?,Chichen Itza,Teotihuacan,Monte Albán,Palenque,Teotihuacan,,
Where is the ancient city of Persepolis?,Turkey,Iran,Iraq,Egypt,Iran,,
Which temple is found in Luxor?,Karnak,Tikal,Delphi,Ziggurat,Karnak,,
What is the name of the wall in Scotland?,Berlin Wall,Hadrian’s Wall,Antonine Wall,Great Wall,Antonine Wall,,
The historic city of Fez is in which country?,Egypt,Algeria,Morocco,Tunisia,Morocco,,
What is the oldest standing stone circle?,Stonehenge,Avebury,Callanish,Bryn Celli Ddu,Avebury,,
Which castle overlooks Edinburgh?,Cardiff Castle,Stirling Castle,Edinburgh Castle,Leeds Castle,Edinburgh Castle,,
Where was the Colossus of Rhodes?,Crete,Rhodes,Athens,Ephesus,Rhodes,,
Which temple complex is in Thebes?,Karnak,Parthenon,Petra,Acropolis,Karnak,,
Which ancient city had a great library?,Rome,Alexandria,Athens,Babylon,Alexandria,,
Where is Mont-Saint-Michel located?,Spain,Italy,France,Belgium,France,,
Which structure lies in Kyoto?,Golden Pavilion,Taj Mahal,Sagrada Familia,Temple of Athena,Golden Pavilion,,
Where is the historical city of Lalibela?,Egypt,Ethiopia,Kenya,Morocco,Ethiopia,,
Which Incan city was never found by Spanish?,Cusco,Machu Picchu,Tikal,Ollyantaytambo,Machu Picchu,,
The Oracle of Delphi was located in?,Rome,Athens,Delphi,Cyprus,Delphi,,
Which monument is in Agra Fort?,Pearl Mosque,Jama Masjid,Taj Mahal,Diwan-i-Am,Pearl Mosque,,
What ancient structure is in Sardinia?,Nuraghe,Dolmen,Obelisk,Ziggurat,Nuraghe,,
The Sun Temple of Konark is found in?,Rajasthan,Kolkata,Odisha,Delhi,Odisha,,
Where is the historic rock of Sigiriya?,Nepal,Sri Lanka,India,Thailand,Sri Lanka,,
Which mosque is carved from a single rock?,Suleymaniye Mosque,Blue Mosque,Lalibela Rock Church,Al-Azhar,Lalibela Rock Church,,
Where is the Citadel of Aleppo?,Jordan,Syria,Lebanon,Iraq,Syria,,
Which is the ancient Nabataean capital?,Thebes,Persepolis,Petra,Babylon,Petra,,
Where is the Ajanta Caves complex?,Pakistan,Sri Lanka,India,Afghanistan,India,,
Which Egyptian site has temple of Hatshepsut?,Philae,Deir el-Bahari,Abu Simbel,Edfu,Deir el-Bahari,,
What landmark is in Istanbul’s old city?,Parthenon,Hagia Sophia,Blue Palace,Topkapi Fort,Hagia Sophia,,
What was the main temple in Babylon?,Ishtar Gate,Temple of Marduk,Etemenanki,Enlil Shrine,Etemenanki,,
The Rock-Hewn Churches are located in?,Ethiopia,Egypt,Greece,Italy,Ethiopia,,
Where is the ancient city of Jericho?,Israel,Egypt,Jordan,Iran,Israel,,
Which structure was built by Mughal Emperor Akbar?,Red Fort,Agra Fort,Fatehpur Sikri,Jama Masjid,Fatehpur Sikri,,
What landmark is carved on Mount Rushmore?,Warriors,Presidents,Poets,Inventors,Presidents,,
Which city hosts the Temple of Luxor?,Giza,Cairo,Alexandria,Luxor,Luxor,,
Which civilization built the Great Zimbabwe?,Zulu,Khoisan,Shona,Mali,Shona,,
Where is the old Incan capital located?,Cusco,Quito,Bogotá,Lima,Cusco,,
Which ancient city is in Syria?,Byblos,Palmyra,Ur,Babylon,Palmyra,,
The Temple of Poseidon is near which city?,Athens,Corinth,Delphi,Thessaloniki,Athens,,
Which site has Buddhist carvings in China?,Dazu Grottoes,Longmen Caves,Bamiyan Buddhas,Yungang Grottoes,Yungang Grottoes,,
Which castle is famous in Romania?,Bran Castle,Buda Castle,Krakow Castle,Belgrade Fortress,Bran Castle,,
Where is the historic site of Mohenjo-daro?,India,Pakistan,Afghanistan,Nepal,Pakistan,,
The Great Mosque of Djenne is made of?,Stone,Wood,Clay,Adobe,Adobe,,
Which island has ancient statues?,Madagascar,Seychelles,Easter Island,Borneo,Easter Island,,
"Which place is known as ""Lost City of the Incas""?",Cusco,Lima,Machu Picchu,Nazca,Machu Picchu,,
What is the old city of Jerusalem also called?,Mecca,Al-Quds,Medina,Bethlehem,Al-Quds,,
Where is the Temple of the Tooth?,India,Bhutan,Sri Lanka,Nepal,Sri Lanka,,
Which city is home to the Capitol Building?,New York,Los Angeles,Washington D.C.,Chicago,Washington D.C.,,
What ancient city lies near the Dead Sea?,Ur,Jericho,Petra,Babylon,Jericho,,
Which country has the Temple of Literature?,Thailand,Vietnam,Cambodia,Laos,Vietnam,,
Where is the historic center of Bruges?,Germany,Belgium,Netherlands,France,Belgium,,
Which Islamic landmark is in Córdoba?,Blue Mosque,Umayyad Mosque,Mezquita Mosque,Hassan Tower,Mezquita Mosque,,
Which UNESCO site lies in Yucatán?,Chichen Itza,Palenque,Teotihuacan,Tulum,Chichen Itza,,
The Red Fort is located in which city?,Delhi,Agra,Lucknow,Hyderabad,Delhi,,
What is the famous Roman temple still standing?,Pantheon,Parthenon,Forum,Basilica,Pantheon,,
Where is the Ishtar Gate now displayed?,Berlin,London,Baghdad,Paris,Berlin,,
Where is the famous fortress Masada?,Iran,Israel,Syria,Lebanon,Israel,,
Where is the Basilica of Sacré-Cœur?,Rome,Paris,Lyon,Milan,Paris,,
Which city contains the Western Wall?,Jerusalem,Tel Aviv,Amman,Beirut,Jerusalem,,
What is the royal palace in Seoul?,Gyeongbokgung,Changdeokgung,Gwanghwamun,Doksugung,Gyeongbokgung,,
Where is the Alhambra Palace located?,Spain,Portugal,Italy,Morocco,Spain,,
Where is the Paro Taktsang monastery?,India,Bhutan,Nepal,Tibet,Bhutan,,
Which landmark has 365 steps?,Teotihuacan,Chichen Itza,Petra,Machu Picchu,Chichen Itza,,
Where is the Temple of Heaven located?,Shanghai,Beijing,Seoul,Taipei,Beijing,,
Which country has the Rila Monastery?,Greece,Bulgaria,Romania,Turkey,Bulgaria,,
The Sanchi Stupa is located in?,India,Nepal,Pakistan,Bangladesh,India,,
Which ancient tower was used as a watch post?,Qutub Minar,Leaning Tower,Bell Tower,Minaret,Qutub Minar,,
Where is the ancient city of Troy?,Greece,Turkey,Egypt,Syria,Turkey,,
What type of building is the Pantheon?,Temple,Bathhouse,Palace,Fort,Temple,,
Which monument lies in Phnom Penh?,Silver Pagoda,Angkor Wat,Bayon Temple,Golden Shrine,Silver Pagoda,,
Which capital has the ruins of Babylon?,Damascus,Baghdad,Cairo,Tehran,Baghdad,,
Which monument marks Napoleon’s victories?,Arc de Triomphe,Versailles,Eiffel Tower,Louvre,Arc de Triomphe,,
What structure lies in Granada?,Mezquita,Alhambra,Cathedral of Seville,Ronda Walls,Alhambra,,
Which city is home to the Doge’s Palace?,Venice,Milan,Rome,Naples,Venice,,
Where is the famous Dome of the Rock?,Istanbul,Jerusalem,Cairo,Baghdad,Jerusalem,,
Which structure stands in Barcelona?,Eiffel Tower,Sagrada Familia,Blue Mosque,Notre Dame,Sagrada Familia,,
What is Petra also known as?,Desert Castle,Lost City,Rose City,Red Temple,Rose City,,
The Temple of Karnak was dedicated to?,Osiris,Ra,Amun,Anubis,Amun,,
What is the Citadel of Cairo also called?,Al-Qahira Fortress,Salah El-Din Citadel,Giza Citadel,Mamluk Tower,Salah El-Din Citadel,,
Where is the Temple of Bacchus?,Jordan,Turkey,Lebanon,Israel,Lebanon,,
Which gate led to ancient Babylon?,Lion Gate,Sun Gate,Ishtar Gate,Marduk Gate,Ishtar Gate,,
Which structure has detailed Mayan calendars?,Copán,Teotihuacan,Chichen Itza,Tikal,Chichen Itza,,
Which Roman structure could hold 50,000 people?,Forum,Colosseum,Pantheon,Bath House,,
Where is the Church of the Holy Sepulchre?,Jerusalem,Bethlehem,Nazareth,Damascus,Jerusalem,,
Which Pharaoh built Abu Simbel?,Ramses II,Khufu,Thutmose III,Akhenaten,Ramses II,,
What is the name of the old Roman baths?,Thermae,Sanitas,Aqueduct,Domus,Thermae,,
Where are the medieval towers of San Gimignano?,Italy,Spain,Germany,France,Italy,,
Which temple complex is near the Nile?,Luxor,Abu Simbel,Karnak,Edfu,Karnak,,
Where is the temple of Artemis?,Rome,Ephesus,Athens,Corinth,Ephesus,,
What is the fortress in Moscow called?,Kremlin,Duma,Tsar Palace,Bolshoi,Kremlin,,
What is the oldest structure in the UK?,Hadrian's Wall,Stonehenge,Skara Brae,Bath House,Skara Brae,,
Which country is home to the Rock Fortress of Sigiriya?,Thailand,Sri Lanka,Cambodia,India,Sri Lanka,,
Where is the Wailing Wall located?,Tel Aviv,Rome,Jerusalem,Mecca,Jerusalem,,
What is the famous stepwell in India?,Qutub Minar,Adalaj Stepwell,Brihadeeswara,Konark Temple,Adalaj Stepwell,,
Which site features Moai statues?,Galápagos,Easter Island,Seychelles,Malta,Easter Island,,
Where is the medieval castle Neuschwanstein?,Austria,Germany,Switzerland,France,Germany,,
Which country is home to the ancient city of Carthage?,Tunisia,Libya,Algeria,Egypt,Tunisia,,
The historic Bam Citadel is in which country?,Iran,Iraq,Turkey,Jordan,Iran,,
Which city has the Temple of the Emerald Buddha?,Bangkok,Hanoi,Yangon,Jakarta,Bangkok,,
Where is the ancient Buddhist site of Sarnath?,Nepal,India,Sri Lanka,Bangladesh,India,,
What is the famous castle in Prague?,Krakow Castle,Buda Castle,Prague Castle,Leeds Castle,Prague Castle,,
Where are the Skellig Michael monastic ruins?,Scotland,Wales,Ireland,England,Ireland,,
Which site is the Palace of Knossos located?,Athens,Crete,Delphi,Rhodes,Crete,,
Which country contains Machu Picchu?,Brazil,Peru,Colombia,Ecuador,Peru,,
What is the ancient center of the Khmer Empire?,Luang Prabang,Angkor Wat,Bagan,Borobudur,Angkor Wat,,
What is the historic square in Moscow?,Red Square,Black Square,Freedom Plaza,St. George Square,Red Square,,
Where are the famous Ajanta Caves located?,India,Sri Lanka,Nepal,Bangladesh,India,,
The Tower of London was used mainly as?,Castle,Prison,Palace,Library,Prison,,
Which island has the ancient city of Delos?,Crete,Naxos,Rhodes,Delos,Delos,,
What is the famous wall in China called?,Ming Wall,Qin Barrier,Great Wall,Dragon Fence,Great Wall,,
Where are the famous Bayon faces?,Thailand,Cambodia,Myanmar,Vietnam,Cambodia,,
Where is the Château de Chambord?,Belgium,France,Spain,Italy,France,,
Which structure is carved into red cliffs?,Machu Picchu,Petra,Tikal,Cappadocia,Petra,,
Where can you find the ruins of Babylon?,Iran,Turkey,Egypt,Iraq,Iraq,,
What structure served as a Roman chariot arena?,Colosseum,Pantheon,Circus Maximus,Forum,Circus Maximus,,
Where is the historic town of Hoi An?,Laos,Vietnam,Cambodia,Thailand,Vietnam,,
Which landmark in India aligns with the stars?,Jantar Mantar,Lotus Temple,Red Fort,Qutub Minar,Jantar Mantar,,
The Acropolis of Athens overlooks which city?,Delphi,Sparta,Athens,Corinth,Athens,,
Which old Mayan site lies in Guatemala?,Tulum,Tikal,Coba,Monte Albán,Tikal,,
Where is the famous Himeji Castle?,Korea,Japan,China,Vietnam,Japan,,
Which cathedral stands in Milan?,Notre Dame,St. Basil’s,Duomo di Milano,Sagrada Familia,Duomo di Milano,,
Which ancient city was lost under volcanic ash?,Pompeii,Rome,Delphi,Syracuse,Pompeii,,
What ancient structure is found in Cusco?,Sacsayhuamán,Chichen Itza,Machu Picchu,Teotihuacan,Sacsayhuamán,,
Which monument honors unknown soldiers?,Tomb of Ramses,Tomb of the Unknown Soldier,Victory Tower,Peace Shrine,Tomb of the Unknown Soldier,,
Where is the Great Buddha of Kamakura?,China,Thailand,Japan,Taiwan,Japan,,
Which historic site has a Serpent Column?,Athens,Delphi,Istanbul,Sparta,Istanbul,,
What was the purpose of Ziggurats?,Worship,Burial,Farming,Defense,Worship,,
Which African city has a famous medina?,Fez,Nairobi,Cairo,Algiers,Fez,,
What is the famous gate in Berlin?,Victory Gate,Brandenburg Gate,Gate of Dawn,Berlin Wall,Brandenburg Gate,,
Where is the famous rock tombs of Lycia?,Turkey,Egypt,Iran,Iraq,Turkey,,
Which ruin is found in northern Sudan?,Meroë,Luxor,Aswan,Nubia,Meroë,,
Which Italian city has the Roman Arena?,Verona,Florence,Milan,Naples,Verona,,
Which ancient city lies near Mount Vesuvius?,Pompeii,Florence,Naples,Syracuse,Pompeii,,
Which historic site is in Lalibela?,Rock-Hewn Churches,White Temple,Red Pagoda,Iron Fort,Rock-Hewn Churches,,
Where is the Göbekli Tepe site located?,Iraq,Turkey,Egypt,Iran,Turkey,,
"Which structure is called the ""White Mosque""?",Sheikh Zayed Mosque,Blue Mosque,Umayyad Mosque,Lalibela,Sheikh Zayed Mosque,,
What is the largest amphitheatre ever built?,Gladiator Dome,Forum,Colosseum,Circus Maximus,Colosseum,,
Which site was a royal complex in Korea?,Forbidden City,Changdeokgung,Imperial Pavilion,Gyeongbokgung,Gyeongbokgung,,
Where is the Temple of Bel located?,Iraq,Turkey,Syria,Lebanon,Syria,,
Which temple sits at the top of Mount Popa?,Ananda Temple,Golden Temple,Mount Popa Monastery,Shwedagon,Mount Popa Monastery,,
What was the name of the Viking settlement in Canada?,Vinland,New Scandia,Erikfjord,Norseland,Vinland,,
Which temple is famous in Uppsala?,Golden Temple,Uppsala Temple,Uppsala Cathedral,Odin Shrine,Uppsala Cathedral,,
Where is the Temple of Horus located?,Aswan,Edfu,Luxor,Giza,Edfu,,
What is the famous Incan trail called?,Andes Trail,Machu Road,Inca Trail,Sun Route,Inca Trail,,
Where is the Tower of Pisa located?,Rome,Pisa,Milan,Florence,Pisa,,
What ancient city is submerged under Lake Titicaca?,Tiwanaku,Puno,Cuzco,Lake City,Tiwanaku,,
What is the name of the old Mayan observatory?,El Castillo,El Caracol,Temple of Kukulkan,Sun Watcher,El Caracol,,
Where can you find the Gate of the Sun?,Peru,Bolivia,Chile,Argentina,Bolivia,,
Where is the Forbidden City?,Seoul,Hanoi,Beijing,Kyoto,Beijing,,
Which temple was built by King Solomon?,Second Temple,Solomon’s Temple,Herod’s Temple,David’s Shrine,Solomon’s Temple,,
Which landmark is found in Kyoto?,Golden Pavilion,Sensoji Temple,Mount Fuji,Kinkaku-ji,Kinkaku-ji,,
Which mountain has Christ the Redeemer?,Sugarloaf,Copacabana,Mount Corcovado,Mount Everest,Mount Corcovado,,
What was the purpose of Hadrian’s Wall?,Trade,Defense,Aqueduct,Transport,Defense,,
Which ruin lies in the Andes?,Petra,Tiwanaku,Machu Picchu,Teotihuacan,Machu Picchu,,
What is the oldest pyramid in Egypt?,Red Pyramid,Bent Pyramid,Step Pyramid,Great Pyramid,Step Pyramid,,
Where is the temple Borobudur located?,Thailand,Indonesia,Cambodia,Philippines,Indonesia,,
Which ancient palace is in Knossos?,Minoan Palace,Phoenician Palace,Mycenaean Palace,Dorian Temple,Minoan Palace,,
Where is the city of Palenque located?,Ecuador,Colombia,Mexico,Belize,Mexico,,
What structure honors a Buddhist emperor?,Sanchi Stupa,Qutub Minar,Konark Temple,Ajanta Caves,Sanchi Stupa,,
Which site has a giant stone lion?,Hattusa,Mycenae,Delphi,China,Hattusa,,
Where is the Ellora Caves site?,Sri Lanka,India,Nepal,Thailand,India,,
Which African site has pyramids?,Timbuktu,Meroë,Nubia,Giza,Meroë,,
Where are the ruins of Persepolis?,Iraq,Iran,Egypt,Turkey,Iran,,
What temple is dedicated to Artemis?,Ephesus,Athens,Sparta,Rhodes,Ephesus,,
Which Greek site hosted ancient Olympics?,Delphi,Olympia,Sparta,Athens,Olympia,,
Where are the Nazca Lines located?,Peru,Mexico,Chile,Bolivia,Peru,,
What temple is in Abu Simbel?,Temple of Isis,Temple of Ra,Temple of Ramses II,Temple of Luxor,Temple of Ramses II,,
Where is the Great Library of Alexandria?,Cairo,Alexandria,Giza,Luxor,Alexandria,,
Which site is located on Mount Athos?,Holy Monastery,Mount Temple,Monastery of Iviron,Parthenon,Monastery of Iviron,,
Where is the Aït Benhaddou located?,Algeria,Tunisia,Morocco,Egypt,Morocco,,
Which ancient road connected Rome to Brindisi?,Via Sacra,Appian Way,Forum Road,Vatican Route,Appian Way,,
Where is the Royal Palace of Caserta?,Milan,Naples,Rome,Caserta,Caserta,,
Which ancient site is in Albania?,Butrint,Dubrovnik,Skopje,Tirana,Butrint,,
Where is the temple of Philae?,Aswan,Giza,Luxor,Cairo,Aswan,,
Which city has the Blue Mosque?,Cairo,Istanbul,Tehran,Baghdad,Istanbul,,
Which monument is a burial site in Saudi Arabia?,Mada’in Saleh,Al-Hijr,Petra,Al-Qassim,Mada’in Saleh,,
Where is the Castle of Edinburgh?,Dublin,London,Edinburgh,Belfast,Edinburgh,,
What ancient site is in Cappadocia?,Balloon Valley,Fairy Chimneys,Rock Caves,Stone Towers,Fairy Chimneys,,
Where is the Leaning Tower?,Milan,Rome,Pisa,Venice,Pisa,,
What palace is in Bangkok?,Royal Palace,Grand Palace,Emerald Palace,King’s Castle,Grand Palace,,
Where are the ancient cave temples of Dambulla?,Sri Lanka,India,Thailand,Myanmar,Sri Lanka,,
Where are the ruins of Leptis Magna?,Tunisia,Algeria,Libya,Morocco,Libya,,
What mountain holds Machu Picchu?,Huayna Picchu,Cusco Peak,Machu Peak,Sun Temple,Huayna Picchu,,
Which country has the Valley of the Kings?,Egypt,Iraq,Sudan,Jordan,Egypt,,
Where is the Hagia Sophia located?,Athens,Cairo,Istanbul,Jerusalem,Istanbul,,
Which ancient city lies in Jordan?,Petra,Byblos,Damascus,Uruk,Petra,,
What was the Colosseum used for?,Baths,Debates,Battles,Library,Battles,,
Where is the Monastery of Saint Catherine?,Syria,Egypt,Lebanon,Jordan,Egypt,,
Which temple sits on Lake Tonle Sap?,Banteay Srei,Angkor Wat,Wat Pho,Bayon Temple,Angkor Wat,,
What landmark is on the Acropolis?,Temple of Hera,Parthenon,Pantheon,Delphi,Parthenon,,
Which gate is the main entry to Vienna?,Ishtar Gate,Belvedere Gate,Heroes’ Gate,St. Stephen’s Gate,Heroes’ Gate,,
Where is the Phaistos Disc from?,Cyprus,Crete,Malta,Delos,Crete,,
Which movie won Best Picture at the 1994 Oscars?,Pulp Fiction,Forrest Gump,The Shawshank Redemption,Four Weddings and a Funeral,Forrest Gump,,
Who played the role of Jack in Titanic?,Matt Damon,Leonardo DiCaprio,Brad Pitt,Tom Cruise,Leonardo DiCaprio,,
"Which director is known for the ""Dark Knight"" trilogy?",Martin Scorsese,Christopher Nolan,Steven Spielberg,Quentin Tarantino,Christopher Nolan,,
"What year was ""The Godfather"" released?",1969,1972,1974,1975,1972,,
"Which actress starred in ""Pretty Woman""?",Meg Ryan,Julia Roberts,Sandra Bullock,Nicole Kidman,Julia Roberts,,
"Who voiced Woody in ""Toy Story""?",Tom Hanks,Tim Allen,Robin Williams,Bill Murray,Tom Hanks,,
Which movie features the quote “You can’t handle the truth!”?,The Godfather,A Few Good Men,Goodfellas,Jerry Maguire,A Few Good Men,,
Which musical won Best Picture in 2002?,Moulin Rouge!,Chicago,La La Land,Les Misérables,Chicago,,
Which actor played Iron Man?,Chris Evans,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Robert Downey Jr.,,
"Who directed ""Jurassic Park""?",James Cameron,Steven Spielberg,Peter Jackson,George Lucas,Steven Spielberg,,
"Which movie has the character ""Travis Bickle""?",Goodfellas,Taxi Driver,Scarface,Heat,Taxi Driver,,
What film is about Facebook’s creation?,The Social Dilemma,The Social Network,Jobs,Startup.com,The Social Network,,
"Who won Best Actor for ""The Revenant""?",Leonardo DiCaprio,Eddie Redmayne,Matt Damon,Bryan Cranston,Leonardo DiCaprio,,
